day,region_id,susceptible,infected,recovered,dead
10,13,1199999,0,1,0
10,14,1049999,0,1,0
10,15,659999,0,1,0
10,16,579999,0,1,0
10,17,319999,0,1,0
10,18,84999,0,1,0
10,19,86999,0,1,0
11,1,8469999,0,1,0
11,2,7799999,0,1,0
11,3,6759999,0,1,0
11,4,5099999,0,1,0
11,5,2699999,0,1,0
11,6,2399999,0,1,0
11,7,2199999,0,1,0
11,8,2199999,0,1,0
11,9,1999999,0,1,0
11,10,1499999,0,1,0
11,11,1299999,0,1,0
11,12,999999,0,1,0
11,13,1199999,0,1,0
11,14,1049999,0,1,0
11,15,659999,0,1,0
11,16,579999,0,1,0
11,17,319999,0,1,0
11,18,84999,0,1,0
11,19,86999,0,1,0
12,1,8469999,0,1,0
12,2,7799999,0,1,0
12,3,6759999,0,1,0
12,4,5099999,0,1,0
12,5,2699999,0,1,0
12,6,2399999,0,1,0
12,7,2199999,0,1,0
12,8,2199999,0,1,0
12,9,1999999,0,1,0
12,10,1499999,0,1,0
12,11,1299999,0,1,0
12,12,999999,0,1,0
12,13,1199999,0,1,0
12,14,1049999,0,1,0
12,15,659999,0,1,0
12,16,579999,0,1,0
12,17,319999,0,1,0
12,18,84999,0,1,0
12,19,86999,0,1,0
13,1,8469999,0,1,0
13,2,7799999,0,1,0
13,3,6759999,0,1,0
13,4,5099999,0,1,0
13,5,2699999,0,1,0
13,6,2399999,0,1,0
13,7,2199999,0,1,0
13,8,2199999,0,1,0
13,9,1999999,0,1,0
13,10,1499999,0,1,0
13,11,1299999,0,1,0
13,12,999999,0,1,0
13,13,1199999,0,1,0
13,14,1049999,0,1,0
13,15,659999,0,1,0
13,16,579999,0,1,0
13,17,319999,0,1,0
13,18,84999,0,1,0
13,19,86999,0,1,0
14,1,8469999,0,1,0
14,2,7799999,0,1,0
14,3,6759999,0,1,0
14,4,5099999,0,1,0
14,5,2699999,0,1,0
14,6,2399999,0,1,0
14,7,2199999,0,1,0
14,8,2199999,0,1,0
14,9,1999999,0,1,0
14,10,1499999,0,1,0
14,11,1299999,0,1,0
14,12,999999,0,1,0
14,13,1199999,0,1,0
14,14,1049999,0,1,0
14,15,659999,0,1,0
14,16,579999,0,1,0
14,17,319999,0,1,0
14,18,84999,0,1,0
14,19,86999,0,1,0
15,1,8469999,0,1,0
15,2,7799999,0,1,0
15,3,6759999,0,1,0
15,4,5099999,0,1,0
15,5,2699999,0,1,0
15,6,2399999,0,1,0
15,7,2199999,0,1,0
15,8,2199999,0,1,0
15,9,1999999,0,1,0
15,10,1499999,0,1,0
15,11,1299999,0,1,0
15,12,999999,0,1,0
15,13,1199999,0,1,0
15,14,1049999,0,1,0
